producto|precio|url_producto|reviews|estado|cantidad_vendidos
Placa De Video Sapphire Radeon Xt 6700 Pulse 12gb |259990|https://articulo.mercadolibre.com.ar/MLA-918083370-placa-de-video-sapphire-radeon-xt-6700-pulse-12gb-_JM#position=35&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Placa De Video Radeon Msi Rx 6700 Xt Mech 2x Oc 12gb|264900|https://articulo.mercadolibre.com.ar/MLA-912580614-placa-de-video-radeon-msi-rx-6700-xt-mech-2x-oc-12gb-_JM#position=36&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
 Amd Msi Radeon Rx 570 Armor 4g Oc Edition 4gb Open Box|89999|https://articulo.mercadolibre.com.ar/MLA-918211374-amd-msi-radeon-rx-570-armor-4g-oc-edition-4gb-open-box-_JM#position=37&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|||
Placa de video AMD Asus  ROG Strix Radeon RX 5600 Series RX 5600 XT ROG-STRIX-RX5600XT-T6G-GAMING 6GB|279999|https://www.mercadolibre.com.ar/placa-de-video-amd-asus-rog-strix-radeon-rx-5600-series-rx-5600-xt-rog-strix-rx5600xt-t6g-gaming-6gb/p/MLA16179651?pdp_filters=category:MLA1658#searchVariation=MLA16179651&position=8&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|5|Nuevo|91
Placa De Video Sapphire Radeon Xt 6700 Nitro+ 12gb Gddr6 |349990|https://articulo.mercadolibre.com.ar/MLA-918088095-placa-de-video-sapphire-radeon-xt-6700-nitro-12gb-gddr6-_JM#position=38&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Placa De Video Sapphire Radeon Xt 6700 Pulse 12gb |310190|https://articulo.mercadolibre.com.ar/MLA-918084152-placa-de-video-sapphire-radeon-xt-6700-pulse-12gb-_JM#position=39&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Cooler Placa De Video Asus Pld09210s12hh Strix R9 390 A|5684|https://articulo.mercadolibre.com.ar/MLA-793193540-cooler-placa-de-video-asus-pld09210s12hh-strix-r9-390-a-_JM#position=40&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|3
Soporte Rgb Placa De Video Rog Republic Of Gamers Coolmoon|2298|https://articulo.mercadolibre.com.ar/MLA-913203349-soporte-rgb-placa-de-video-rog-republic-of-gamers-coolmoon-_JM#position=41&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|1
Cooler Placa De Video Asus Pld09210s12hh Strix R9 390 A|4900|https://articulo.mercadolibre.com.ar/MLA-793193336-cooler-placa-de-video-asus-pld09210s12hh-strix-r9-390-a-_JM#position=42&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|2
Cooler Placa De Video T129215su Gigabyte Geforce Gtx1050 G1|4900|https://articulo.mercadolibre.com.ar/MLA-785341692-cooler-placa-de-video-t129215su-gigabyte-geforce-gtx1050-g1-_JM#position=43&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|7
Soporte Rgb Placa De Video Rog Republic Of Gamers Coolmoon|2298|https://articulo.mercadolibre.com.ar/MLA-913200938-soporte-rgb-placa-de-video-rog-republic-of-gamers-coolmoon-_JM#position=44&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Placa de video AMD Gigabyte  Gaming Radeon RX 5700 Series RX 5700 GV-R57GAMING OC-8GD OC Edition 8GB|280342|https://www.mercadolibre.com.ar/placa-de-video-amd-gigabyte-gaming-radeon-rx-5700-series-rx-5700-gv-r57gaming-oc-8gd-oc-edition-8gb/p/MLA15189926?pdp_filters=category:MLA1658#searchVariation=MLA15189926&position=9&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|14|Nuevo|134
Placa De Video Sapphire Rx 6900 Xt Nitro+ Gaming Oc 16gb|454672|https://articulo.mercadolibre.com.ar/MLA-913345134-placa-de-video-sapphire-rx-6900-xt-nitro-gaming-oc-16gb-_JM#position=45&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Cooler Placa De Video Asus Pld09210s12hh Strix R9 390 C|4900|https://articulo.mercadolibre.com.ar/MLA-793197008-cooler-placa-de-video-asus-pld09210s12hh-strix-r9-390-c-_JM#position=46&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|4
Cooler Placa De Video Asus Pld09210s12hh Strix R9 390 B|4900|https://articulo.mercadolibre.com.ar/MLA-793195104-cooler-placa-de-video-asus-pld09210s12hh-strix-r9-390-b-_JM#position=47&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|3
Placa Video Amd Radeon Pro Wx8200 8gb Hbm2 Workstation|275000|https://articulo.mercadolibre.com.ar/MLA-864032444-placa-video-amd-radeon-pro-wx8200-8gb-hbm2-workstation-_JM#position=48&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|2
